Brand,Store Number,Name,Ownership Type,Facility ID,Features - Products,Features - Service,Features - Stations,Food Region,Venue Type,Phone Number,Street Address,Street Line 1,Street Line 2,City,State,Zip,Country,Insert Date
Starbucks,8173,Target San Jose North T-2581,Licensed,19212,,,,0,Unknown,408-834-1527,95 Holger Wy,95 Holger Wy,,San Jose,CA,95134-1372,US,06/22/2012 06:53:38 PM
Starbucks,73575,Albertsons-Blythe #6587,Licensed,13291,,,,9999,Unknown,760-922-4099,840 E Hobson Way,840 E Hobson Way,,Blythe,CA,92225-1800,US,06/22/2012 06:48:44 PM
Starbucks,8824,"Hobsonway & Lovekin, Blythe",Company Owned,15685,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,760-921-8076,745 West Hobsonway,745 West Hobsonway,,BLYTHE,CA,92225-1514,US,06/22/2012 06:48:44 PM
Starbucks,8748,"Hwy 111 & Hwy 98, Calexico",Company Owned,14452,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,760-357-8071,"1113 Imperial West, Suite 101",1113 Imperial West,Suite 101,Calexico,CA,92231-4808,US,06/22/2012 06:48:45 PM
Starbucks,7962,"Dogwood & I-8, El Centro",Company Owned,9731,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,760-370-0157,599 E. Danenberg Drive,599 E. Danenberg Drive,,El Centro,CA,92243-8507,US,06/22/2012 06:48:45 PM
Starbucks,8751,"Imperial & Main, El Centro",Company Owned,16681,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,760-352-3502,202 S. Imperial Avenue,202 S. Imperial Avenue,,El Centro,CA,92243-2859,US,06/22/2012 06:48:45 PM
Starbucks,79674,Von's - El Centro #2406,Licensed,7444,,"Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,760-353-4603,750 N Imperial Ave,750 N Imperial Ave,,El Centro,CA,92243-1914,US,06/22/2012 06:48:45 PM
Starbucks,74350,Safeway-Bishop #1753,Licensed,14730,,Starbucks Card Mobile,,9999,Unknown,760-872-9811,1190 N Main St,1190 N Main St,,Bishop,CA,93514-2410,US,06/22/2012 06:49:03 PM
Starbucks,8946,"Main & Sierra, Bishop",Company Owned,14486,Oven-warmed Food,"Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,760-872-6582,905 North Main Street,905 North Main Street,,Bishop,CA,93514-2438,US,06/22/2012 06:49:03 PM
Starbucks,74513,Vons - Mammoth Lakes #2400,Licensed,14717,,Starbucks Card Mobile,,9999,Unknown,760-934-4536,"481 Old Mammoth Rd, PO Box 142",481 Old Mammoth Rd,PO Box 142,Mammoth Lakes,CA,93546-0142,US,06/22/2012 06:49:03 PM
Starbucks,8074,Mammoth Mountain-Mammoth Village,Licensed,18703,,Wireless Hotspot,,0,Unknown,760-934-0698,6201 Minaret Rd,6201 Minaret Rd,,Mammoth Lakes,CA,93546,US,06/22/2012 06:49:03 PM
Starbucks,74344,Safeway-Kings Beach #1592,Licensed,13095,,"Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,530-546-0170,7815 N Lake Blvd,7815 N Lake Blvd,,Kings Beach,CA,96143,US,06/22/2012 06:49:15 PM
Starbucks,75864,Vail Resorts @ Northstar,Licensed,7880,Oven-warmed Food,Wireless Hotspot,,9999,Unknown,530-562-3680,100 Northstar Dr,100 Northstar Dr,,Truckee,CA,96161-4203,US,06/22/2012 06:49:15 PM
Starbucks,5228,Truckee,Company Owned,12127,"Lunch, Oven-warmed Food, Sirena Espresso Machine","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,530-582-6856,11260-4 Donner Pass Road,11260-4 Donner Pass Road,,Truckee,CA,96161-4808,US,06/22/2012 06:49:15 PM
Starbucks,79651,Safeway - Truckee #1266,Licensed,18370,,"Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,,11290 Donner Pass Rd,11290 Donner Pass Rd,,Truckee,CA,96161-4808,US,06/22/2012 06:49:15 PM
Starbucks,16996,Squaw Valley-Mountain Side Funitel,Licensed,70013,,,,0,Unknown,530-584-6128,1960 Squaw Valley Rd,1960 Squaw Valley Rd,,Olympic Valley,CA,96146-9995,US,06/22/2012 06:49:15 PM
Starbucks,75533,Squaw Valley Ski,Licensed,12993,Oven-warmed Food,Wireless Hotspot,,9999,Unknown,530-584-6120,"1985 Squaw Valley Rd, Ste.21",1985 Squaw Valley Rd,Ste.21,Olympic Valley,CA,96146,US,06/22/2012 06:49:15 PM
